Kontext	Conversational Move	Topic	Count	Antwort 1	Antwort 2	Antwort 3	Antwort 4
AK_Default	CM_CatchAll	#Adelaide_Shackleton	1	Ich bin Adelaide Shackleton. Ich bin Geologin.			
AK_Default	CM_CatchAll	#Alexander_Veltman	2	Alexander Veltman hat diese Expedition angeleitet.. bevor er vor zwei Wochen verschwand.	Dr. Veltman hat mir zu meinem Bedauern andere Aufgaben gegeben als zusammen mit ihm und David Experimente am Kairosit durchzuführen.		
AK_Default	CM_CatchAll	#Arbeit	2	Während Alexander und David die Reaktion von Kairosit auf elektrische Energie in der Höhle untersuchten, habe ich Eis und Gesteinsproben gesammelt und untersucht. Das Eis scheint hier viel Älter zu sein als wir erwartet hätten. 	Nachdem Alexander verschwunden ist habe ich mich auch etwas mit dem Kairosit beschäftigt. Es besitzt wirklich einzigartige Eigenschaften.		
AK_Default	CM_CatchAll	#Crew	1	Als wir ankamen waren wir zu fünft. Alexander Veltman, er hat die Expedition geleitet. David Edgeworth, Forschungsassistenz von Alexander. Edgar Evans ist der Kapitän der uns her brachte. Lawrence Wilson ist unser Azt und ich, Adelaide Shackleton, Gelogin.  Aber Alexander ist vor zwei Wochen verschwunden und David...			
AK_Default	CM_CatchAll	#David_Edgeworth	1	David hat sich um mich gekümmert, er war mein Mentor. Er hat für mich gesorgt und mir ermöglicht mit auf diese Expedition zu kommen. Dr. Veltman hätte das nie zugelassen, wenn er sich nicht für mich eingesetzt hätte.  Und jetzt ist er tot..			
AK_Default	CM_CatchAll	#Edgar_Evans	1	Edgar ist unser Kapitän, der uns an diesen faszinierenden Ort gebracht hat. Er hat zwar meist keine feste Aufgabe, aber er hilft wo er kann.			
AK_Default	CM_CatchAll	#Ersatzteil	1	Du benötigst eine Elektronenröhre um die Maschine in der Höhle wieder zum laufen zu bringen. Scheinbar ist sie bei dem letzten Betrieb geplatzt. Wenn du planst daran rumzuspielen, pass auf die Spannung nicht zu hoch einzustellen. David ist bei einem solchen Unfall ums Leben gekommen.. Vielleicht findest du Davids aufzeichnungen. Sie könnten dir vielleicht helfen die Maschine einzustellen.			
AK_Default	CM_CatchAll	#Forschung	2	Ich habe zunächst auf Verheiß von Alexander Bodenproben von dem Gestein und dem Eis hier genommen. Merkwürdigerweise sind die oberen Gesteinsschichten hier deutlich älter als zu erwarten wäre.	Seit Alexander verschwunden ist habe ich auch das Kairosit untersucht. Es ist ein wirklich faszinierendes Material. Ich habe noch nie etwas vergleichbares gesehen.		
AK_Default	CM_CatchAll	#Friedhof	1	Wir haben David in der nähe des Lagers begraben.. Dort steht auch ein Kreuz für Doktor Veltman. Ich glaube nicht, dass er wieder auftaucht.			
AK_Default	CM_CatchAll	#Höhle	1	Mit der Hilfe eines Seismographen habe ich kurz nach unserer Ankunft ungewöhnliche, konsistente Vibrationen gemessen. In der nähe des Eisblocks wurden sie stärker, also beschlossen wir einen Tunnel hineinzuschlagen und haben dort das Kairosit gefunden.			
