Kontext,Conversational Move,Topic,Count,Antwort 1,Antwort 2,Antwort 3,Antwort 4,Antwort 5,Antwort 6,Antwort 7,Antwort 11,Antwort 12,Antwort 13,Antwort 14,Antwort 15,Antwort 16,Antwort 17,Antwort 18,Antwort 19,Antwort 20,Antwort 21,Antwort 22
LK_Default,CM_CatchAll,#Adelaide_Shackleton,2,Miss Shackleton ist studierte Gelogin. Sie ist auf Verheiß von Herr Edgeworth hier.,Sie leidet sehr unter dem Tod von Edgeworth. Sie standen sich sehr nahe. Er war für sie wie ein Vater. Ich versuche Miss Shackleton so gut wie möglich über diesen Verlust hinweg zu helfen.,,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#Alexander_Veltman,7,"Alexander Veltman. Ich habe viel mit mit ihm unter vier Augen gesprochen. Als Arzt habe ich das Gespräch mit ihm gesucht, vor Allem als er anfing irrationale Entscheidungen zu treffen. Ihn hat vieles Beschäftigt. Der Tod seiner Frau, Visionen die ihn plagten, die Besessenheit von der Forschung.. ","Ich denke eigentlich sollte ich es niemandem verraten, aber Veltman erzählte mir einmal von seiner Vergangenheit. Seine erste Erinnerung ist, wie er nachts im Laternenschein in einer Gasse in London aufgewacht ist. Ohne Erinnerungen an sein vorheriges Leben.","Das einzige, das ihn seit jeher verfolgt sind Visionen von einem esigen Ort. Um diesen Ort zu finden hat er diese Expedition gestartet. Und wie er sagte ist er auch fündig geworden.",Er hatte versucht sich ein normales Leben mit seiner Frau aufzubauen und diese Gedanken zu vergessen. Aber nachdem sie in einem Unglück ums Leben kam hatte er nichts anderes mehr zu verlieren.,"Er sagte in einem verzweifelten Augenblick, dass diese Expedition der einzige Weg sei sie zurück zu bringen. Wie er das wohl meinte.. Wahrscheinlich sind seine Nerven einfach mit ihm durchgegangen.","Seit er hier war, hat er von nichts anderem gesprochen als der Erforschung von diesem Gestein.","Edgar ist der Letzte, der Veltman vor seinem Verschwinden gesehen hat.",,,,,,,,,,,,
LK_Default,CM_CatchAll,#Amelie_Veltman,1,Amelie Veltman ist die verstorbene Frau von Doktor Veltman. Er hat in den Sitzungen oft von ihr gesprochen.,,,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#Arbeit,1,"Ich bin hier um die Crew zu betreuen. Sowohl körperlich, im Fall von Krankheit oder Verletzung, als auch seelisch. Die Isolation setzt auf Dauer vielen zu.",,,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#Brandspuren,1,Sie meinen den Ort an dem Edgeworth von dem elektrischen Blitz erschlagen wurde? Edgar war dabei als es passiert ist. Er kann ihnen vielleicht mehr dazu sagen.,,,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#Crew,2,"Drei von uns sind noch hier. Miss Shackleton, unsere Geologin, Edgar, unser Kapitän und ich.",David Edgeworth ist in einem Unfall in der Höhle tötlich verwundet worden. Alexander Veltman ist vor ungefähr einem Monat verschwunden und nicht wieder aufgetaucht. Die Vorräte sind jedoch unberührt und von der Ausrüstung fehlt auch nichts. Ich weiß nicht was er sich dabei gedacht hat.,,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#David_Edgeworth,1,"Mister Edgeworth war der engste Vertraute von Doktor Veltman. Sie haben die meiste Zeit in der Höhle mit ihren Forschungen verbracht. Mister Edgeworth hat darüber einen kühlen Kopf bewahrt, aber Doktor Veltman...",,,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#Dialogpartner,0,,,,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#Edgar_Evans,2,Edgar ist der Kapitän der Foresight und ein alter Freund von mir.,"Edgar ist der Grund weshalb ich an diesem gottverlassenen Ort bin. Wir verstehen uns gut, aber über die Aussichtslose Zeit hier haben wir uns etwas in die Haar gekriegt.",,,,,,,,,,,,,,,,,
LK_Default,CM_CatchAll,#Elektronenröhre,1,"Entschuldigung, aber ich weiß leider nicht was das sein soll. Wissen Sie, ich kenne mich nicht besonders mit Techik aus. Vielleicht kann Ihnen Miss Shackleton etwas mehr darüber verraten.",,,,,,,,,,,,,,,,,,
