Kontext	Conversational Move	Topic	Count	Antwort 1	Antwort 2	Antwort 3	Antwort 4	Antwort 5	Antwort 6	Antwort 7	Antwort 11	Antwort 12	Antwort 13	Antwort 14	Antwort 15	Antwort 16	Antwort 17	Antwort 18	Antwort 19	Antwort 20	Antwort 21	Antwort 22
LK_Default	CM_CatchAll	#Adelaide_Shackleton	2	Miss Shackleton ist studierte Gelogin. Sie ist hier als Assistentin von ihrem Mentor David. Sie hat das Eis und das merkwürdige Gestein untersucht, dass Alexander hier gefunden hat. Kairosit nennt sie es.	Sie hat sich, obwohl sie Teil des Forschungsteam ist selten in der Höhle mit Alexander und David aufgehalten. Sie hatte meist andere Aufgaben.																	
LK_Default	CM_CatchAll	#Alexander_Veltman	3	Alexander Veltman hat unsere Expedition geleitet, bis er vor zwei Wochen... verschwunden ist. Ich habe viel mit mit ihm unter vier Augen gesprochen. Ich habe mir sorgen gemacht. Vor allem nachdem er sich nach Davids Tod zurückzog. Er hat sich nurnoch in der Höhle seinen Forschungen gewidmet. Tagelang ohne heraus zu kommen.	Ich denke eigentlich sollte ich es niemandem verraten, aber Veltman erzählte mir einmal von seiner Vergangenheit. Seine erste Erinnerung ist, wie er von einem norwegischen Polarforscher hier am Südpol aufgefunden wurde. Ohne Erinnerungen an sein vorheriges Leben. Er weiß sogar noch das genaue Datum. Der 28.12.1911. Es hat ihm scheinbar viel Bedeutet. Ich kann mir aber nicht erklären, wie er vor 19 Jahren hier an den Südpol gelangt sein soll.	Ich erinnere mich, dass Alexander als wir hier ankamen aufgeregt sagte , dass dies der Ort sein muss. Vielleicht meint er den Ort aus seinen Visionen																
LK_Default	CM_CatchAll	#Arbeit	1	Ich bin Arzt. In erster Linie bin ich hier für Notfälle. Aber ich habe mich auch um die seelesiche Betreuung der Crew gekümmert. Die Isolation und die Vorfälle hier haben allen zugesetzt.																		
LK_Default	CM_CatchAll	#Crew	1	Als wirr hier ankamen waren wir zu fünft. Alexander Veltman, unser Expeditionsleiter. David Edgeworth, sein Forschungsassistent. Adelaide Shackleton, unsere Geologin. Edgar Evans, unser Kapitän. Und ich, Lawrence Wilson, Arzt. Doch nun ist David tot und Alexander verschwunden.																		
LK_Default	CM_CatchAll	#David_Edgeworth	1	David war Adelaides Mentor und der engste Vertraute von Alexander. Sie haben die meiste Zeit in der Höhle mit ihren Forschungen verbracht... David gestorben ist. Und nunja, jetzt ist Alexander auch noch verschwunden.																		
LK_Default	CM_CatchAll	#Edgar_Evans	1	Edgar ist der Kapitän der Foresight und ein alter Freund von mir.																		
LK_Default	CM_CatchAll	#Eisprobe	1	Fragen sie dazu besser Adelaide. Sie hat das Eis hier untersucht.																		
LK_Default	CM_CatchAll	#Ersatztiel	2	Du willst also die Maschine wieder zum laufen brigen? Wenn du nach Ersatzteilen suchst, schau in Alexanders Zelt nach. Etwas so wichtiges hat Alexander bestimmt sicher verwahrt.	Das Ersatzteil muss irgendwo in Alexanders Zelt sein.																	
LK_Default	CM_CatchAll	#Forschung	1	Über die Forschung kann ich Ihnen leider nicht viel erzählen. Miss Shackleton kann ihnen jedoch garantiert weiterhelfen. Sie ist die Einzige, die noch vom Forschungsteam übrig ist.																		
LK_Default	CM_CatchAll	#Friedhof	1	Wir haben etwas außerhalb des Camps einen Friedhof errichtet. Dort hat Edgar David begraben. Nachdem Alexander tagelang verschwunden war, hat er auch ein Kreuz für ihn aufgestellt.																		
LK_Default	CM_CatchAll	#Höhle	1	Veltman und Edgeworth haben in der Höhle an einem unbekannten Gestein geforscht. Sie haben sie gefunden weil von dort leichte Vibrationen ausgingen. Mit einer Menge Mühe haben wir einen Tunnel dort hinein geschlagen und dort dieses merkwürdige Gestein gefunden. 																		
LK_Default	CM_CatchAll	#Kairosit	1	Daran haben sie die ganze Zeit geforscht. Ich verstehe nicht viel davon, aber Adelaide dürfte Ihnen aber mehr darüber verraten können.																		
LK_Default	CM_CatchAll	#Lager	1	Hier haben wir die letzten Monate gelebt und gearbeitet. Wir befinden uns gerade in unserem Wohnzelt. Adelaide ist drüben im Forschungszelt. Das dritte, ist Alexanders Privatzelt. 																		
LK_Default	CM_CatchAll	#Lawrence_Wilson	1	Ich bin hier um die Crew zu betreuen. Sowohl körperlich, im Fall von Krankheit oder Verletzung, als auch seelisch. Die Isolation setzt auf Dauer vielen zu.																		
LK_Default	CM_CatchAll	#Maschine	1	Ich glaube sie haben die Maschine benutzt um mit dem Kairosit zu experimentieren. Alexander hat sich zuletzt nurnoch damit beschäftigt. Vielleicht sollten sie sich die Maschine auch mal anschauen, vielleicht finden sie ja etwas heraus was wir übersehen haben. Adelaide sagte aber die Maschine sei defekt. Ein Ersatzteil fehlt wohl. Sie kann ihnen aber bestimmt mehr dazu sagen.																		
