Kontext	Conversational Move	Topic	Count	Antwort 1	Antwort 2	Antwort 3	Antwort 4	Antwort 5	Antwort 6	Antwort 7	Antwort 8	Antwort 9	Antwort 10	Antwort 11	Antwort 12	Antwort 13	Antwort 14	Antwort 15	Antwort 16	Antwort 17	Antwort 18	Antwort 19
EK_Default	CM_CatchAll	#Adelaide_Shackleton	2	Adelaide ist Geologin. Sie hat ganz schön was auf dem Kasten für ihr Alter. Sie ist mit David hergekommen. Sie hat das Eis und Proben von diesem Stein untersucht, den Alexander hier gefunden hat.	Auch wenn Adelaide zu den Forschen gehört, war sie fast nie selbst in der Höhle. Wie ich das verstanden habe hat sie meistens andere Aufgaben gehabt.																	
EK_Default	CM_CatchAll	#Alexander_Veltman	1	Alexander ist unser Expeditionsleiter. Er hat sich echt in die Forschungen reingekniet seit wir hier sind. Aber nach Davids Tod wurde es ziemlich ungesund. Er hat Tag und Nacht allein in der Höhle verbracht und hat gearbeitet. Ich habe ihm jeden Tag etwas zu Essen gebracht. Eines Tages meinte er er steht kurz vor dem Durchbruch. Am nächsten Tag konnte ich ihn nirgends mehr finden. Ich kann mir nicht erklären wieso und wohin er verschwunden sein kann.																		
EK_Default	CM_CatchAll	#Arbeit	2	Seit wir hier in der Arktis sind, habe ich mich größtenteils um die Verwaltung der Vorräte ind die Instandhaltung der Werkzeuge gekümmert. Als sich Alexander in der Höhle zurückgezogen hat habe ich ihn jeden Tag kurz besucht und zumindest etwas zu Essen gebracht. Sonst wäre er dort noch verhungert.	Ich hatte nicht so viel arbeit. Daher hatte ich endlich genug Zeit etwas zu schreiben.																	
EK_Default	CM_CatchAll	#Crew	1	Lawrence, Adelaide und ich sind noch übrig. David ist vor einem Monat bei einem Unfall bei den Forschungen gestorben und Alexander ist einfach spurlos verschwunden.																		
EK_Default	CM_CatchAll	#David_Edgeworth	1	Ich glaube David hat eng mit Alexander zusammen gearbeitet. Sie haben die meiste Zeit in der Höhle mit ihren Forschungen verbracht, bis David gestorben ist. Ich habe ihn begraben. Er hatte nicht viel persönliches dabei, was ich ihm hätte beilegen können. Ich habe aber zumindest sein Tagebuch auf sein Grab gelegt.																		
EK_Default	CM_CatchAll	#Edgar_Evans	1	Ich bin der Kapitän der Foresight. Ich bin in erster Linie hier um aller hier hin und wieder weg zu bringen. Ich konnte den Auftrag nicht ausschlagen. Er sollte echt gut bezahlt werden. Naja.. ob daraus jetzt noch was wird... 																		
EK_Default	CM_CatchAll	#Ersatzteil	1	Ich habe gehört, dass die Maschine defekt ist. Adelaide sagte ein Ersatzteil muss ausgetauscht werden, damit sie nochmal funktioniert. Aber pass auf, Junge. Das Ding kann gefährlich sein. Du weißt was mit David passiert ist.																		
EK_Default	CM_CatchAll	#Forschung	1	Ich verstehe leider nichts von den Forschungen und um ehrlich zu sein interessiert es mich auch nicht wirklich. Adelaide kann ihnen aber bestimmt weiter helfen, wenn sie etwas darüber wissen möchten.																		
EK_Default	CM_CatchAll	#Friedhof	1	Ich habe David hinter dem Lager begraben. Ich habe vor ein paar Tagen auch ein Kreuz für Alexander aufgestellt. Ich glaube nicht, dass er noch zurück kommen wird. Er hat nichtmal Vorräte mitgenommen.																		
EK_Default	CM_CatchAll	#Höhle	1	In der Höhle haben David und Alexander die meiste Zeit gearbeitet. Irgendwelche Experimente mit dem Stein in der Höhle.																		
EK_Default	CM_CatchAll	#Kairosit	1	Dieser komische Stein den sie gefunden haben? Sie sagen dieser Stein ist etwas besonderes. Für mich sieht er nicht anders aus als jeder andere. Adelaide, die junge Geologin, hat sich auch damit beschäftigt. Du könntest sie ja danach fragen wenn es dich interessiert.																		
EK_Default	CM_CatchAll	#Schatulle	1	Ich habe diese Kiste auf Alexanders Schreibtisch gesehen. Sie ist mit einem Zahlencode verschlossen. Ich bin schon neugierig was dort drin sein könnte. Bestimmt etwas nützliches.																		
EK_Default	CM_CatchAll	#Lager	1	Direkt nach unserer Ankunft haben wir das Lager errichtet. Ein Wohnzelt, ein Forschungszelt und ein privates Zelt von Alexander. Wir haben hier gelebt und gearbeitet.																		
EK_Default	CM_CatchAll	#Lawrence_Wilson	1	Lawrence ist unser Arzt. Ich kenne ihn noch von früher. Er ist ein guter Mensch. Er hat sich zuletzt so gut er konnte um Alexander gekümmert. Er hat auch sein bestes getan um David zu retten..																		
EK_Default	CM_CatchAll	#Maschine	1	Dieses Ding hat genug Kraft um Explosionen zu erzeugen. Ich würde an deiner Stelle die Finger davon lassen. Ich möchte nicht noch jemanden begraben. Allerdings sagt Adelaide, die Maschine sei momentan sowieso defekt.																		
EK_Default	CM_CatchAll	#Reise	1	Die Foresight hat uns auf der Reise hierher gute Dienste erwiesen. Sie hat sich tapfer gehalten und war jedem Unwetter gewachsen.																		
EK_Default	CM_CatchAll	#Rettung	1	Rettung? Ehrlich gesagt weiß ich garnicht was du hier machst. Aber eure Hilfe können wir trotzdem gebrauchen. Wir haben keinen Schimmer wo Alexander ist.																		
EK_Default	CM_CatchAll	#Rückreise	1	Die Foresight ist eingefroren. Ohne Eisbrecher kommen wir vor dem Sommer hier nicht weg. Aber das war auch der Plan. Im Frühling, wenn das Eis taut, die Rückreise anzutreten. 																		
EK_Default	CM_CatchAll	#Schiff	1	Die Foresight ist mein Schiff. Nicht die Prächtigste, aber sie ist mir schon seit 20 Jahren treu. Wegen des Winters stecken wir aber noch hier fest. Das Packeis macht es uns unmöglich um diese Jahreszeit zurück zu Fahren. Die Foresight ist leider kein Eisbrecher, deshalb warten wir auf den Frühling. Vielleicht schaffen wir es aber auch die Foresight jetzt zusammen mit deinem Team zu befreien.																		
EK_Default	CM_CatchAll	#Südpol	1	Ein merkwürdiger Ort. Irgendetwas fühlt sich hier nicht richtig an. Ich bin heilfroh wenn wir wieder aufbrechen können.																		
EK_Default	CM_CatchAll	#Vorräte	1	Es gibt noch genügend Rationen. Merkwürdigerweise hat Alexander nichts mitgenommen als er verschwunden ist.																		
EK_Default	CM_CatchAll	#Visionen	1	Hmm... Ich kann mich erinnern, dass Alexander mal erzälte diesen Ort bereits irgendwo her zu kennen.																		
EK_Default	CM_CatchAll	#Verschwinden	1	Es war vor etwa zwei Wochen. Nach Davids Tod war Alexander fast nur noch in der Höhle. Tagelang. Ich habe ihm jeden Tag etwas zu Essen gebracht. Ansonsten wäre er wohl dort noch verhungert. Und eines Tages konnte ich ihn nirgends mehr finden. 																		
EK_Default	CM_CatchAll	#wasistpassiert	1	David Edgeworth ist in einem Unfall in der Höhle tötlich verwundet worden. Alexander Veltman ist vor ungefähr einem Monat verschwunden und nicht wieder aufgetaucht. Die Vorräte sind jedoch unberührt und von der Ausrüstung fehlt auch nichts. Ich weiß nicht was er sich dabei gedacht hat.																		
EK_Default	CM_CatchAll	#Unfall	1	Es gab einen Unfall in der Höhle. David ist an den Folgen gestorben. So eine Schande.. Und Alexander hat danach noch intensiver gearbeitet. Ich finde er sollte aufhören. Es scheint zu gefährlich zu sein.																		
EK_Default	CM_CatchAll	#Merkwürdig	1	Hier gehen merkwürdige Dinge vor sich. Ich kann nicht genau sagen wieso, aber ich bin froh wenn wir von hier verschwinden.																		
EK_Default	CM_CatchAll	#Eisprobe	1	Ich habe Adelaide geholfen die Proben zu beschaffen, aber ich weiß nicht was sie damit gemacht hat.																		
EK_Default	CM_CatchAll	#Aufzeichnungen	1	David hatte ständig ein Buch bei sich, in welches er seine Notizen geschrieben hat. Ich habe es ihm auf sein Grab gelegt.																		
EK_Default	CM_CatchAll	#NO_TOPIC	3	Vielleicht schaust du dir mal Davids Forschungsunterlagen an. Vielleicht erfährst du etwas über die Forschung, was dir helfen kann Alexander zu finden.	Es ist nie leicht jemanden zu verlieren. Adelaide hat der Tod von David ganz schön mitgenommen. Sie war in dem letzten Monat häufig bei seinem Grab.	Hast du schon mit Lawrence und Adelaide gesprochen?																
EK_Default	CM_AskLocationOfTopic	#Adelaide_Shackleton	1	Adelaide ist bestimmt im Forschungszelt, sie ist eifrig und arbeitet viel. Ich hoffe sie endet nicht wie Alexander.																		
EK_Default	CM_AskLocationOfTopic	#Alexander_Veltman	1	Ich habe keine Ahnung wo Alexander ist. Das letzte was er zu mir sagte war, dass er kurz vor einem Durchbruch steht.																		
EK_Default	CM_AskLocationOfTopic	#Kairosit	1	Dieser Stein ist in der Höhle.																		
EK_Default	CM_AskLocationOfTopic	#Crew	1	Adelaide ist bestimmt im Forschungszelt. Lawrence ist um die Zeit normalerweise im Wohnzelt. Sie wissen es wahrscheinlich schon. David ist vor einem Monat gestorben und Alexander ist vor zwei Wochen verschwunden.																		
EK_Default	CM_AskLocationOfTopic	#David_Edgeworth	1	David ist vor einem Monat bei einem Unfall in den Höhlen gestorben. Ich habe ihn in der Nähe vom Lager begraben und ein Kreuz für ihn aufgestellt.																		
EK_Default	CM_AskLocationOfTopic	#Edgar_Evans	1	Ich stehe hier vor ihnen.																		
